# wvl	a	b	c	rmse
1992.34949000 0.00167627 0.06000061 0.00000000 0.00000000
1997.33344000 0.00167390 0.05983113 0.00000000 0.00000000
2002.31735000 0.00167502 0.05991142 0.00000000 0.00000000
2007.30121000 0.00167612 0.05999001 0.00000000 0.00000000
2012.28403000 0.00167806 0.06012943 0.00000000 0.00000000
2017.26681000 0.00167641 0.06001070 -0.00000000 0.00000000
2022.24955000 0.00167526 0.05992849 0.00000000 0.00000000
2027.23225000 0.00167301 0.05976787 0.00000000 0.00000000
2032.21390000 0.00167092 0.05961850 -0.00000000 0.00000000
2037.19551000 0.00166744 0.05937080 -0.00000000 0.00000000
2042.17708000 0.00166455 0.05916514 -0.00000000 0.00000000
2047.15860000 0.00166004 0.05884510 -0.00000000 0.00000000
2052.13907000 0.00165807 0.05870536 -0.00000000 0.00000000
2057.11951000 0.00165646 0.05859163 -0.00000000 0.00000000
2062.09989000 0.00165807 0.05870536 0.00000000 0.00000000
2067.08023000 0.00165733 0.05865282 0.00000000 0.00000000
2072.05953000 0.00165663 0.05860329 0.00000000 0.00000000
2077.03878000 0.00165697 0.05862759 -0.00000000 0.00000000
2082.01798000 0.00165641 0.05858767 0.00000000 0.00000000
2086.99714000 0.00165542 0.05851794 0.00000000 0.00000000
2091.97524000 0.00165362 0.05839091 0.00000000 0.00000000
2096.95330000 0.00165283 0.05833516 -0.00000000 0.00000000
2101.93131000 0.00165121 0.05822084 0.00000000 0.00000000
2106.90828000 0.00165077 0.05818984 0.00000000 0.00000000
2111.88619000 0.00165244 0.05830754 0.00000000 0.00000000
2116.86305000 0.00165107 0.05821073 -0.00000000 0.00000000
2121.83987000 0.00165017 0.05814777 0.00000000 0.00000000
2126.81563000 0.00164883 0.05805308 -0.00000000 0.00000000
2131.79235000 0.00164723 0.05794074 0.00000000 0.00000000
2136.76701000 0.00164392 0.05770796 -0.00000000 0.00000000
2141.74262000 0.00163842 0.05732294 -0.00000000 0.00000000
2146.71818000 0.00163123 0.05682087 -0.00000000 0.00000000
2151.69269000 0.00162768 0.05657390 0.00000000 0.00000000
2156.66714000 0.00162320 0.05626282 -0.00000000 0.00000000
2161.64155000 0.00161960 0.05601330 0.00000000 0.00000000
2166.61489000 0.00161402 0.05562794 0.00000000 0.00000000
2171.58819000 0.00160852 0.05524985 0.00000000 0.00000000
2176.56143000 0.00160435 0.05496351 -0.00000000 0.00000000
2181.53462000 0.00160263 0.05484590 0.00000000 0.00000000
2186.50675000 0.00159820 0.05454295 0.00000000 0.00000000
2191.47883000 0.00159637 0.05441816 0.00000000 0.00000000
2196.45085000 0.00159671 0.05444149 0.00000000 0.00000000
2201.42282000 0.00159632 0.05441461 0.00000000 0.00000000
2206.39373000 0.00159523 0.05434040 0.00000000 0.00000000
2211.36458000 0.00159295 0.05418521 -0.00000000 0.00000000
2216.33538000 0.00159158 0.05409245 0.00000000 0.00000000
2221.30511000 0.00159014 0.05570750 -0.00000000 0.00000000
2226.27580000 0.00158904 0.05563038 0.00000000 0.00000000
2231.24542000 0.00158822 0.05557344 -0.00000000 0.00000000
2236.21498000 0.00158712 0.05549650 -0.00000000 0.00000000
2241.18349000 0.00158650 0.05545340 0.00000000 0.00000000
2246.15193000 0.00158935 0.05565242 -0.00000000 0.00000000
2251.12032000 0.00158886 0.05561839 0.00000000 0.00000000
