wl_22c,k_22c,wl_minus8c,k_minus8c,wl_minus25c,k_minus25c,wl_minus7c,k_minus7c,wl_25c_H,k_25c_H,wl_20c,k_20c,wl_25c_S,k_25c_S,Index
847.5,2.80e-7,,,,,,,,,810,1.3471700E-07,1901.07830,1.16088750E-03,160
848.9,2.84e-7,,,,,,,,,811,1.3552800E-07,1909.85320,1.67799300E-03,161
850.3,2.84e-7,,,,,,,,,812,1.3634200E-07,1918.66870,1.82721710E-03,162
851.8,2.86e-7,,,,,,,,,813,1.3715700E-07,1931.96830,1.92216270E-03,163
853.2,2.90e-7,,,,,,,,,814,1.3797300E-07,1940.88590,1.90893060E-03,164
854.7,2.93e-7,,,,,,,,,815,1.3944000E-07,1949.84460,1.84837520E-03,165
856.2,2.97e-7,,,,,,,,,816,1.4090900E-07,1958.84470,1.71707850E-03,166
857.6,2.99e-7,,,,,,,,,817,1.4238200E-07,1967.88630,1.54806840E-03,167
859.1,3.30e-7,,,,,,,,,818,1.4385900E-07,1981.52700,1.40213600E-03,168
860.6,3.06e-7,,,,,,,,,819,1.4599000E-07,1990.67330,1.24965500E-03,169
862.1,3.09e-7,,,,,,,,,820,1.4877800E-07,1999.86190,1.10100720E-03,170
863.6,3.13e-7,,,,,,,,,821,1.5157300E-07,2009.09280,9.90353280E-04,171
865.1,3.17e-7,,,,,,,,,822,1.5437400E-07,2018.36640,8.88771550E-04,172
866.6,3.21e-7,,,,,,,,,823,1.5849100E-07,2027.68270,8.04989370E-04,173
868.1,3.25e-7,,,,,,,,,824,1.6327400E-07,2041.73790,7.39247970E-04,174
869.6,3.29e-7,,,,,,,,,825,1.6938100E-07,2051.16220,6.74202170E-04,175
871.1,3.35e-7,,,,,,,,,826,1.7550200E-07,2060.62990,6.20569090E-04,176
872.6,3.40e-7,,,,,,,,,827,1.8295300E-07,2070.14140,5.72519320E-04,177
874.1,3.45e-7,,,,,,,,,828,1.9042300E-07,2079.69670,5.29407570E-04,178
875.7,3.52e-7,,,,,,,,,829,1.9856900E-07,2089.29610,4.88416290E-04,179
877.2,3.57e-7,,,,,,,,,830,2.0673400E-07,2098.93990,4.64290870E-04,180
878.7,3.64e-7,,,,,,,,,831,2.1491900E-07,2108.62810,4.40342030E-04,181
880.3,3.71e-7,,,,,,,,,832,2.2246000E-07,2118.36110,4.17628510E-04,182
881.8,3.78e-7,,,,,,,,,833,2.2935700E-07,2128.13900,3.96999670E-04,183
883.4,3.84e-7,,,,,,,,,834,2.3560500E-07,2137.96210,3.82639800E-04,184
885.0,3.92e-7,,,,,,,,,835,2.4053900E-07,2147.83050,3.70501650E-04,185
886.5,3.99e-7,,,,,,,,,836,2.4481800E-07,2157.74440,3.58748540E-04,186
888.1,4.06e-7,,,,,,,,,837,2.4844200E-07,2167.70410,3.50582430E-04,187
889.7,4.13e-7,,,,,,,,,838,2.5140600E-07,2177.70980,3.43391980E-04,188
891.3,4.20e-7,,,,,,,,,839,2.5437700E-07,2187.76160,3.39461200E-04,189
892.9,4.27e-7,,,,,,,,,840,2.5668500E-07,2197.85990,3.37901520E-04,190
894.5,4.34e-7,,,,,,,,,841,2.5899800E-07,2208.00470,3.38680460E-04,191
896.1,4.41e-7,,,,,,,,,842,2.6131700E-07,2218.19640,3.41028080E-04,192
897.7,4.48e-7,,,,,,,,,843,2.6363900E-07,2228.43510,3.45772260E-04,193
899.3,4.55e-7,,,,,,,,,844,2.6596700E-07,2238.72110,3.57100240E-04,194
900.9,4.63e-7,,,,,,,,,845,2.6829900E-07,2249.05460,3.73929860E-04,195
902.5,4.71e-7,,,,,,,,,846,2.7063700E-07,2259.43580,3.89753610E-04,196
904.2,4.80e-7,,,,,,,,,847,2.7297900E-07,2269.86490,4.08122130E-04,197
905.8,4.88e-7,,,,,,,,,848,2.7532500E-07,2280.34210,4.29328920E-04,198
907.4,4.98e-7,,,,,,,,,849,2.7767700E-07,2290.86770,4.50598920E-04,199
909.1,5.09e-7,,,,,,,,,850,2.8003300E-07,2301.44180,4.68586900E-04,200
910.7,5.21e-7,,,,,,,,,851,2.8239400E-07,2312.06480,4.91801830E-04,201
912.4,5.34e-7,,,,,,,,,852,2.8476000E-07,2317.39460,5.11434640E-04,202
914.1,5.50e-7,,,,,,,,,853,2.8645200E-07,2328.09120,5.42987890E-04,203
915.8,5.68e-7,,,,,,,,,854,2.8882600E-07,2338.83720,5.99501320E-04,204
917.4,5.90e-7,,,,,,,,,855,2.9120600E-07,2349.63280,6.36487890E-04,205
919.1,6.15e-7,,,,,,,,,856,2.9359000E-07,2360.47820,6.85157070E-04,206
920.8,6.45e-7,,,,,,,,,857,2.9597900E-07,2371.37370,7.42660190E-04,207
922.5,6.80e-7,,,,,,,,,858,2.9769000E-07,2382.31950,7.92118480E-04,208
924.2,7.22e-7,,,,,,,,,859,3.0008700E-07,2387.81130,8.48770240E-04,209
925.9,7.68e-7,,,,,,,,,860,3.0180600E-07,2398.83290,9.09473700E-04,210
927.6,8.22e-7,,,,,,,,,861,3.0421200E-07,2409.90540,9.90353280E-04,211
929.4,8.83e-7,,,,,,,,,862,3.0662300E-07,2421.02910,1.07100170E-03,212
